"stfips","areatype","area","areaname"
"01","01","000000","Alabama"
"02","01","000000","Alaska"
"04","01","000000","Arizona"
"05","01","000000","Arkansas"
"06","01","000000","California"
"08","01","000000","Colorado"
"09","01","000000","Connecticut"
"10","01","000000","Delaware"
"11","01","000000","District of Columbia"
"12","01","000000","Florida"
"13","01","000000","Georgia"
"15","01","000000","Hawaii"
"16","01","000000","Idaho"
"17","01","000000","Illinois"
"18","01","000000","Indiana"
"19","01","000000","Iowa"
"20","01","000000","Kansas"
"21","01","000000","Kentucky"
"22","01","000000","Louisiana"
"23","01","000000","Maine"
"24","01","000000","Maryland"
"25","01","000000","Massachusetts"
"26","01","000000","Michigan"
"27","01","000000","Minnesota"
"28","01","000000","Mississippi"
"29","01","000000","Missouri"
"30","01","000000","Montana"
"31","01","000000","Nebraska"
"32","01","000000","Nevada"
"33","01","000000","New Hampshire"
"34","01","000000","New Jersey"
"35","01","000000","New Mexico"
"36","01","000000","New York"
"37","01","000000","North Carolina"
"38","01","000000","North Dakota"
"39","01","000000","Ohio"
"40","01","000000","Oklahoma"
"41","01","000000","Oregon"
"42","01","000000","Pennsylvania"
"44","01","000000","Rhode Island"
"45","01","000000","South Carolina"
"46","01","000000","South Dakota"
"47","01","000000","Tennessee"
"48","01","000000","Texas"
"49","01","000000","Utah"
"50","01","000000","Vermont"
"51","01","000000","Virginia"
"53","01","000000","Washington"
"54","01","000000","West Virginia"
"55","01","000000","Wisconsin"
"56","01","000000","Wyoming"
