SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,27,001,Minnesota,Aitkin County,1,15697,7971,7726,578,305,273,1348,706,642,684,352,332,797,391,406,13424,6782,6642,13087,6608,6479,3847,1929,1918,2532,1267,1265,4532,2318,2214,5226,2632,2594,578,305,273,658,338,320,856,449,407,745,389,356,570,273,297,595,288,307,573,298,275,696,344,352,668,337,331,728,380,348,865,437,428,1340,670,670,1599,831,768,1591,794,797,1429,742,687,1067,559,508,671,337,334,468,200,268,56.3,56.3,56.4
050,27,001,Minnesota,Aitkin County,2,15693,7973,7720,585,311,274,1332,695,637,687,352,335,797,394,403,13426,6789,6637,13089,6615,6474,3842,1927,1915,2531,1267,1264,4527,2316,2211,5234,2638,2596,585,311,274,651,332,319,854,449,405,743,387,356,568,273,295,589,283,306,571,300,271,697,341,356,674,343,331,722,378,344,866,439,427,1327,661,666,1612,838,774,1595,796,799,1434,747,687,1062,556,506,679,338,341,464,201,263,56.4,56.3,56.5
050,27,001,Minnesota,Aitkin County,3,15887,8056,7831,558,284,274,1274,670,604,736,375,361,827,417,410,13688,6914,6774,13319,6727,6592,3950,1973,1977,2581,1280,1301,4605,2360,2245,5306,2670,2636,558,284,274,609,310,299,859,459,400,786,411,375,583,282,301,567,256,311,587,312,275,704,335,369,723,377,346,691,354,337,902,464,438,1308,654,654,1704,888,816,1620,809,811,1494,773,721,1030,540,490,683,334,349,479,214,265,56.7,56.7,56.7
050,27,003,Minnesota,Anoka County,1,363887,183114,180773,22386,11352,11034,44188,22641,21547,20708,10511,10197,27559,14260,13299,287010,143900,143110,276605,138610,137995,140342,71876,68466,97200,49722,47478,99350,50436,48914,52496,24192,28304,22386,11352,11034,23608,12100,11508,25705,13158,12547,23451,12032,11419,19691,10122,9569,22608,11580,11028,24649,12491,12158,26267,13442,12825,23676,12209,11467,23215,11870,11345,24563,12390,12173,27442,13898,13544,24130,12278,11852,18351,8946,9405,14267,6690,7577,9377,4342,5035,5521,2329,3192,4980,1885,3095,38.8,38.2,39.3
050,27,003,Minnesota,Anoka County,2,364299,183312,180987,22335,11295,11040,44204,22661,21543,20757,10549,10208,27532,14234,13298,287429,144103,143326,277003,138807,138196,140567,71974,68593,97425,49823,47602,99123,50322,48801,52923,24428,28495,22335,11295,11040,23679,12138,11541,25672,13155,12517,23452,12035,11417,19690,10116,9574,22595,11556,11039,24613,12459,12154,26354,13493,12861,23863,12315,11548,23036,11771,11265,24484,12374,12110,27295,13822,13473,24308,12355,11953,18476,9021,9455,14460,6791,7669,9424,4370,5054,5582,2359,3223,4981,1887,3094,38.8,38.3,39.3
050,27,003,Minnesota,Anoka County,3,367018,184798,182220,21935,11105,10830,44394,22727,21667,20986,10709,10277,27978,14488,13490,290191,145570,144621,279703,140257,139446,142565,73128,69437,98864,50659,48205,98163,49772,48391,54698,25338,29360,21935,11105,10830,24016,12263,11753,25641,13192,12449,23626,12114,11512,20075,10355,9720,22656,11658,10998,24732,12560,12172,26765,13664,13101,24711,12777,11934,22327,11395,10932,24405,12388,12017,26454,13346,13108,24977,12643,12334,18950,9258,9692,15321,7234,8087,9562,4457,5105,5821,2484,3337,5044,1905,3139,38.9,38.4,39.5
050,27,005,Minnesota,Becker County,1,35183,17699,17484,2130,1091,1039,4363,2162,2201,2068,1039,1029,2525,1285,1240,27628,13916,13712,26622,13407,13215,11671,5899,5772,7600,3844,3756,9052,4644,4408,7445,3634,3811,2130,1091,1039,2367,1149,1218,2518,1282,1236,2286,1160,1126,1785,895,890,1693,836,857,1851,923,928,2071,1048,1023,1985,1037,948,1795,929,866,2026,1050,976,2524,1277,1247,2707,1388,1319,2519,1289,1230,1986,992,994,1286,655,631,886,408,478,768,290,478,42.1,42.2,42.1
050,27,005,Minnesota,Becker County,2,35147,17682,17465,2097,1068,1029,4346,2151,2195,2071,1040,1031,2516,1288,1228,27644,13929,13715,26633,13423,13210,11672,5899,5773,7610,3842,3768,9017,4636,4381,7490,3657,3833,2097,1068,1029,2361,1152,1209,2510,1270,1240,2284,1159,1125,1778,898,880,1687,831,856,1855,924,931,2063,1042,1021,2005,1045,960,1794,934,860,2012,1041,971,2504,1269,1235,2707,1392,1315,2542,1306,1236,2007,1001,1006,1294,654,640,882,406,476,765,290,475,42.2,42.3,42.1
050,27,005,Minnesota,Becker County,3,35219,17673,17546,2031,1038,993,4322,2121,2201,2096,1065,1031,2523,1300,1223,27811,13967,13844,26770,13449,13321,11755,5938,5817,7665,3850,3815,8860,4531,4329,7722,3768,3954,2031,1038,993,2342,1148,1194,2509,1250,1259,2311,1180,1131,1779,908,871,1685,834,851,1857,926,931,2031,1015,1016,2092,1075,1017,1779,944,835,1960,994,966,2379,1199,1180,2742,1394,1348,2631,1346,1285,2117,1063,1054,1339,672,667,872,398,474,763,289,474,42.5,42.5,42.5
050,27,007,Minnesota,Beltrami County,1,46228,23164,23064,3215,1681,1534,6106,3157,2949,2457,1291,1166,5924,3017,2907,35667,17688,17979,34450,17035,17415,18640,9492,9148,10867,5509,5358,10156,4969,5187,7503,3540,3963,3215,1681,1534,3385,1726,1659,3329,1756,1573,3554,1837,1717,4219,2146,2073,2902,1456,1446,2744,1428,1316,2792,1399,1393,2429,1226,1203,2181,1082,1099,2251,1096,1155,2797,1370,1427,2927,1421,1506,2520,1234,1286,2011,1019,992,1239,586,653,877,390,487,856,311,545,34.6,33.5,35.8
050,27,007,Minnesota,Beltrami County,2,46230,23171,23059,3209,1676,1533,6097,3157,2940,2475,1308,1167,5917,3021,2896,35679,17687,17992,34449,17030,17419,18644,9495,9149,10870,5499,5371,10122,4952,5170,7540,3558,3982,3209,1676,1533,3367,1724,1643,3348,1766,1582,3565,1846,1719,4209,2150,2059,2886,1443,1443,2746,1427,1319,2786,1393,1393,2452,1236,1216,2177,1087,1090,2240,1089,1151,2775,1356,1419,2930,1420,1510,2546,1248,1298,2041,1040,1001,1231,579,652,873,382,491,849,309,540,34.6,33.5,35.8
050,27,007,Minnesota,Beltrami County,3,46380,23291,23089,3070,1597,1473,6096,3159,2937,2589,1369,1220,5910,3041,2869,35922,17825,18097,34625,17166,17459,18809,9600,9209,10979,5557,5422,9963,4894,5069,7773,3674,4099,3070,1597,1473,3335,1733,1602,3430,1793,1637,3656,1895,1761,4174,2148,2026,2842,1442,1400,2732,1402,1330,2814,1413,1401,2591,1300,1291,2148,1085,1063,2272,1103,1169,2639,1293,1346,2904,1413,1491,2623,1290,1333,2207,1119,1088,1242,589,653,858,370,488,843,306,537,34.9,33.7,36.1
050,27,009,Minnesota,Benton County,1,41379,20818,20561,2845,1476,1369,5468,2794,2674,2388,1205,1183,3217,1593,1624,31855,15934,15921,30678,15343,15335,16778,8535,8243,11775,6048,5727,9935,5145,4790,5751,2557,3194,2845,1476,1369,3027,1560,1467,3043,1545,1498,2666,1350,1316,2337,1137,1200,2862,1435,1427,3045,1552,1493,3244,1701,1543,2624,1360,1264,2432,1276,1156,2489,1294,1195,2706,1350,1356,2308,1225,1083,1871,914,957,1417,664,753,915,406,509,652,274,378,896,299,597,36.4,36.1,36.7
050,27,009,Minnesota,Benton County,2,41338,20816,20522,2824,1471,1353,5455,2793,2662,2397,1212,1185,3201,1589,1612,31848,15938,15910,30662,15340,15322,16773,8542,8231,11781,6051,5730,9908,5133,4775,5772,2567,3205,2824,1471,1353,3031,1574,1457,3030,1529,1501,2671,1355,1316,2321,1136,1185,2841,1421,1420,3035,1549,1486,3234,1698,1536,2671,1383,1288,2427,1277,1150,2477,1283,1194,2685,1345,1340,2319,1228,1091,1868,911,957,1437,674,763,927,412,515,660,277,383,880,293,587,36.5,36.1,36.8
050,27,009,Minnesota,Benton County,3,41459,20909,20550,2718,1415,1303,5391,2770,2621,2420,1212,1208,3303,1661,1642,32127,16108,16019,30930,15512,15418,17042,8709,8333,11933,6139,5794,9856,5082,4774,5838,2630,3208,2718,1415,1303,3003,1563,1440,3002,1510,1492,2713,1377,1336,2396,1193,1203,2857,1441,1416,3022,1535,1487,3185,1680,1505,2869,1483,1386,2367,1251,1116,2454,1250,1204,2593,1314,1279,2442,1267,1175,1890,931,959,1528,724,804,929,412,517,649,271,378,842,292,550,36.6,36.3,37.0
050,27,011,Minnesota,Big Stone County,1,5166,2588,2578,309,170,139,579,293,286,258,132,126,321,166,155,4152,2065,2087,4020,1993,2027,1512,775,737,991,504,487,1355,695,660,1353,628,725,309,170,139,306,165,141,331,155,176,294,153,141,227,118,109,238,112,126,239,127,112,291,154,137,223,111,112,235,117,118,260,122,138,405,220,185,455,236,219,394,202,192,306,157,149,220,93,127,190,93,97,243,83,160,47.9,46.7,49.0
050,27,011,Minnesota,Big Stone County,2,5147,2576,2571,307,168,139,579,293,286,259,132,127,315,162,153,4134,2054,2080,4002,1983,2019,1507,770,737,994,505,489,1343,689,654,1350,627,723,307,168,139,304,162,142,336,160,176,291,151,140,222,114,108,234,113,121,244,128,116,289,150,139,227,114,113,231,114,117,257,122,135,397,214,183,458,239,219,396,201,195,311,160,151,218,94,124,187,89,98,238,83,155,47.9,46.7,48.9
050,27,011,Minnesota,Big Stone County,3,5145,2587,2558,314,175,139,573,301,272,268,132,136,307,163,144,4124,2045,2079,3990,1979,2011,1534,783,751,1031,524,507,1297,668,629,1355,624,731,314,175,139,310,165,145,335,172,163,291,152,139,212,107,105,225,112,113,263,135,128,287,146,141,256,131,125,214,103,111,253,128,125,358,181,177,472,256,216,400,195,205,327,170,157,210,92,118,193,90,103,225,77,148,47.2,44.9,48.9
050,27,013,Minnesota,Blue Earth County,1,69112,34833,34279,3669,1901,1768,7159,3758,3401,3035,1585,1450,14626,7159,7467,56756,28391,28365,55249,27589,27660,34064,17440,16624,17175,9084,8091,13633,6847,6786,9815,4499,5316,3669,1901,1768,3895,2067,1828,4036,2079,1957,6133,2983,3150,10756,5373,5383,4957,2651,2306,4224,2240,1984,4304,2278,2026,3690,1915,1775,3133,1583,1550,3258,1707,1551,3576,1766,1810,3666,1791,1875,3316,1659,1657,2427,1172,1255,1604,738,866,1160,489,671,1308,441,867,31.3,30.8,31.9
050,27,013,Minnesota,Blue Earth County,2,69173,34844,34329,3679,1917,1762,7148,3743,3405,3057,1599,1458,14600,7139,7461,56801,28390,28411,55289,27585,27704,34080,17428,16652,17204,9088,8116,13600,6828,6772,9885,4530,5355,3679,1917,1762,3896,2056,1840,4033,2085,1948,6137,2983,3154,10739,5357,5382,4966,2652,2314,4196,2219,1977,4313,2275,2038,3729,1942,1787,3148,1587,1561,3241,1694,1547,3562,1766,1796,3649,1781,1868,3337,1664,1673,2467,1186,1281,1618,744,874,1166,497,669,1297,439,858,31.4,30.8,32.0
050,27,013,Minnesota,Blue Earth County,3,69280,34917,34363,3579,1856,1723,7104,3742,3362,3115,1625,1490,14763,7234,7529,56993,28496,28497,55482,27694,27788,34086,17421,16665,17019,8987,8032,13500,6760,6740,10200,4713,5487,3579,1856,1723,3866,2032,1834,4049,2135,1914,6138,2991,3147,10929,5443,5486,4761,2560,2201,4094,2147,1947,4241,2217,2024,3923,2063,1860,3194,1601,1593,3194,1658,1536,3447,1724,1723,3665,1777,1888,3385,1697,1688,2692,1292,1400,1648,771,877,1195,512,683,1280,441,839,31.6,31.0,32.3
